[
[,"bb","Address","Princ_L#","Principal File","Init_L#","Initial File","Disassembly", "unhalted_core_cycles", "uops_retired:stall_cycles", "instruction_retired", "uops_retired:any", "load_latency", "mem_uncore_retired:local_dram_and_remote_cache_hit", "mem_uncore_retired:remote_dram", "mem_load_retired:llc_unshared_hit", "dtlb_latency", "dtlb_load_misses:stlb_hit", "dtlb_load_misses:walk_completed", "dtlb_load_misses:walk_cycles", "mem_uncore_retired:other_llc_miss", "mem_uncore_retired:remote_hitm", "mem_uncore_retired:local_hitm", "mem_load_retired:other_core_l2_hit_hitm", "mem_load_retired:l2_hit", "mem_load_retired:hit_lfb", "mem_load_retired:l1d_hit", "instruction_starvation", "l2_rqsts:ifetch_miss", "l2_rqsts:ifetch_hit", "itlb_latency", "itlb_misses:0x10", "itlb_misses:walk_completed", "itlb_misses:walk_cycles", "offcore_requests_outstanding:demand_read_code:c=1", "uops_issued:stall_cycles", "resource_stalls:any", "bandwidth_saturated", "offcore_requests_outstanding:any_read:c=6", "offcore_requests_outstanding:demand_rfo:c=4", "branch_misprediction", "br_misp_retired:all_branches", "baclear:clear", "uops_issued:any", "uops_retired:retire_slots", "uops_issued:any:c=1", "store_resources_saturated", "resource_stalls:store", "offcore_requests_outstanding:demand_rfo:c=1", "instruction_latency", "arith:cycles_div_busy", "arith:div", "exception_handling", "uops_decoded:ms_cycles_active", "port_saturation", "uops_executed:port0", "uops_executed:port1", "uops_executed:port2_core", "uops_executed:port3_core", "uops_executed:port4_core", "uops_executed:port5",],
[,"0:0","1:0","2:3","2_1:0","2_2:0","2_3:0","3:0","3:0","4:0","5:0","6:0","7:11","7_1:0","7_2:0","7_3:0","7_4:3","7_4_1:0","7_4_2:0","7_4_3:0","7_5:0","7_6:0","7_7:0","7_8:0","7_9:0","7_10:0","7_11:0","8:6","8_1:0","8_2:0","8_3:3","8_3_0:0","8_3_1:0","8_3_2:0","8_4:0","8_5:0","8_6:0","9:2","9_1:0","9_2:0","10:5","10_1:0","10_2:0","10_3:0","10_4:0","10_5:0","11:2","11_1:0","11_2:0","12:2","12_1:0","12_2:0","13:1","13_1:0","14:6","14_1:0","14_2:0","14_3:0","14_4:0","14_5:0","14_6:0",],
[,,,,,,,"MSR Programmings", 0x53003c, 0x1d301c2, 0x5300c0, 0x5301c2, 0x0, 0x53080f, 0x53100f, 0x5304cb, 0x0, 0x531008, 0x530208, 0x530408, 0x53200f, 0x53040f, 0x53020f, 0x5308cb, 0x5302cb, 0x5340cb, 0x5301cb, 0x0, 0x532024, 0x531024, 0x0, 0x531085, 0x530285, 0x530485, 0x1530260, 0x1d3010e, 0x5301a2, 0x0, 0x6530860, 0x4530460, 0x0, 0x5300c5, 0x5301e6, 0x53010e, 0x5302c2, 0x153010e, 0x0, 0x5308a2, 0x1530460, 0x0, 0x530114, 0x1d70114, 0x0, 0x15302d1, 0x0, 0x5301b1, 0x5302b1, 0x7304b1, 0x7308b1, 0x7310b1, 0x5320b1,],
[,,,,,,,"Periods", 2000000, 2000000, 2000000, 2000000, 2000000, 10000, 10000, 100000, 2000000, 200000, 200000, 2000000, 10000, 10000, 20000, 50000, 200000, 2000000, 2000000, 2000000, 20000, 200000, 2000000, 2000000, 200000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 200000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000,],
[,,,,,,,"Multiplex", 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000,],
[,,,,,,,"Penalty", 1, 1, 0, 0, 1, 250, 450, 52, 1, 7, 7, 1, 350, 450, 95, 85, 6, 0, 0, 1, 55, 8, 1, 7, 7, 1, 0, 0, 0, 1, 1, 0, 1, 6, 6, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0,],
[,,,,,,,"Cycles", 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0,],
[,1,0xa0f45c,120,,,, " Basic Block 1 <0xa0f2e0>", 114, 63, 139, 141, 33, 10, 1, 5, 6, 9, 0, 0, 0, 0, 0, 0, 1, 0, 68, 4, 4, 3, 0, 0, 0, 0, 0, 89, 47, 0, 0, 0, 0, 0, 0, 143, 148, 42, 14, 14, 0, 0, 0, 0, 0, 0, 0, 20, 17, 75, 54, 69, 19,],
[,1,0xa0f45c,119,"pointer-set.c",119,"pointer-set.c","push   %rbp",  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,],
[,1,0xa0f45d,119,"pointer-set.c",119,"pointer-set.c","mov    %rsp,%rbp",  1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,],
[,1,0xa0f460,119,"pointer-set.c",119,"pointer-set.c","sub    $0x30,%rsp",  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,],
